id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6039785,2023-08-11T21:00:00,2023-08-11T16:00:00,0.0,2023-05-31T00:00:00,music_festival,1,0.0,Falconwood Park and Hullabaloo Music Group (formerly Sokol Park),US,NE,0.0,1,,,,,,concert,Outlandia Music Festival,1,0.27,None,0,0.0,0
5882895,2023-08-11T21:00:00,2023-08-11T17:00:00,0.398,2022-11-29T00:00:00,theater,1,0.701,Astor Place Theatre,US,NY,0.66,357,33.0,159.0,98.0,446.0,158.0,theater,Blue Man Group,1390,0.39,None,0,0.0,0
5881785,2023-08-11T21:00:00,2023-08-11T17:00:00,0.667,2022-11-28T00:00:00,concert,3,0.828,Olympic Stadium Montreal (Stade Olympique),Canada,QC,0.65,5,500.0,339.0,58.0,8105.0,200.0,concert,Metallica,34,0.76,Pantera,43,0.74,0
6059095,2023-08-11T21:00:00,2023-08-11T17:00:00,0.51,2023-06-17T00:00:00,concert,1,0.707,RBC Echo Beach,Canada,ON,0.57,7,25.0,81.0,13.0,476.0,25.0,concert,Amine,6,0.62,None,0,0.0,0
5949078,2023-08-11T21:30:00,2023-08-11T17:30:00,0.419,2023-02-16T00:00:00,cirque_du_soleil,1,0.713,Walt Disney World Resort,US,FL,0.62,204,11.0,386.0,241.0,518.0,379.0,theater,Cirque du Soleil Drawn to Life,204,0.39,None,0,0.0,0
6035871,2023-08-11T21:30:00,2023-08-11T16:30:00,0.484,2023-05-24T00:00:00,mma,1,0.725,Sanford Pentagon,US,SD,0.57,5,37.0,130.0,50.0,332.0,120.0,sports,Bellator MMA,1,0.57,None,0,0.0,0
5892815,2023-08-11T21:30:00,2023-08-11T17:30:00,0.922,2022-12-09T00:00:00,concert,3,0.954,Ohio Stadium,US,OH,0.87,8,1216.0,427.0,101.0,115504.0,304.0,concert,Morgan Wallen,33,0.78,Riley Green,12,0.74,0
5855885,2023-08-11T21:45:00,2023-08-11T17:45:00,0.5,2022-10-28T00:00:00,minor_league_baseball,2,0.738,Polar Park,US,MA,0.57,23,99.0,37.0,20.0,195.0,33.0,sports,Worcester Red Sox,40,0.37,Buffalo Bisons,40,0.35,0
6024702,2023-08-11T22:00:00,2023-08-11T18:00:00,0.351,2023-05-18T00:00:00,concert,1,0.672,Univest Performance Center,US,PA,0.23,3,9.0,61.0,50.0,71.0,62.0,concert,Clay Walker,2,0.55,None,0,0.0,0
6051893,2023-08-11T22:00:00,2023-08-11T18:00:00,0.284,2023-06-09T00:00:00,concert,1,0.639,City Winery - Boston,US,MA,0.44,14,2.0,197.0,144.0,252.0,148.0,concert,Rahsaan Patterson,5,0.32,None,0,0.0,0
