id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6023587,2023-08-05T03:00:00,2023-08-04T20:00:00,0.417,2023-05-16T00:00:00,concert,1,0.705,Redding Civic Auditorium,US,CA,0.52,5,7.0,129.0,106.0,177.0,121.0,concert,Midland,20,0.62,None,0,0.0,0
5843026,2023-08-05T03:00:00,2023-08-04T20:00:00,0.362,2022-10-13T00:00:00,theater,1,0.679,Luxor Theater,US,NV,0.69,946,3.0,60.0,53.0,67.0,61.0,theater,Blue Man Group,1444,0.39,None,0,0.0,0
6042297,2023-08-05T03:00:00,2023-08-04T22:00:00,0.262,2023-05-31T00:00:00,concert,2,0.625,Subterranean,US,IL,0.54,92,2.0,87.0,56.0,121.0,56.0,concert,Emo Nite,11,0.65,Lollapalooza Aftershows,57,0.47,0
6003124,2023-08-05T03:00:00,2023-08-04T20:00:00,0.214,2023-04-19T00:00:00,concert,1,0.6,Coach House - Capistrano,US,CA,0.42,27,4.0,80.0,71.0,94.0,79.0,concert,Pablo Cruise,5,0.35,None,0,0.0,0
6084975,2023-08-05T03:00:00,2023-08-04T20:00:00,0.244,2023-07-09T00:00:00,theater,1,0.619,Alexis Park All Suite Resort,US,NV,0.59,550,3.0,194.0,169.0,214.0,198.0,theater,All Motown,335,0.28,None,0,0.0,0
6059137,2023-08-05T03:00:00,2023-08-04T22:00:00,0.283,2023-06-17T00:00:00,comedy,1,0.635,The Second City Mainstage Theatre,US,IL,0.48,76,2.0,151.0,125.0,178.0,128.0,theater,The Second City,29,0.31,None,0,0.0,0
5950187,2023-08-05T03:00:00,2023-08-04T20:00:00,0.337,2023-02-17T00:00:00,broadway_tickets_national,1,0.664,Angus Bowmer Theatre (Ashland),US,OR,0.53,88,1.0,226.0,226.0,226.0,226.0,theater,Rent,108,0.37,None,0,0.0,0
6025367,2023-08-05T03:00:00,2023-08-04T20:00:00,0.267,2023-05-18T00:00:00,concert,1,0.628,The Rebel Lounge - Phoenix,US,AZ,0.47,12,8.0,61.0,53.0,82.0,58.0,concert,The Jungle Giants,5,0.62,None,0,0.0,0
5806459,2023-08-05T03:00:00,2023-08-04T20:00:00,0.305,2022-09-11T00:00:00,dance_performance_tour,1,0.648,San Francisco Playhouse,US,CA,0.47,46,7.0,146.0,112.0,182.0,151.0,theater,A Chorus Line,46,0.3,None,0,0.0,0
6007968,2023-08-05T03:00:00,2023-08-04T20:00:00,0.302,2023-04-24T00:00:00,broadway_tickets_national,1,0.646,Granville Island Stage at Artsclub,Canada,BC,0.34,8,4.0,85.0,62.0,107.0,67.0,theater,Million Dollar Quartet,10,0.33,None,0,0.0,0
6079222,2023-08-05T03:00:00,2023-08-04T20:00:00,0.264,2023-06-30T00:00:00,concert,1,0.627,Felton Music Hall,US,CA,0.43,33,8.0,46.0,44.0,50.0,46.0,concert,Midnight North,1,0.42,None,0,0.0,0
5996928,2023-08-05T03:00:00,2023-08-04T20:00:00,0.586,2023-04-16T00:00:00,classical_orchestral_instrumental,1,0.791,Hollywood Bowl,US,CA,0.84,57,3.0,40.0,36.0,45.0,40.0,theater,Los Angeles Philharmonic,105,0.48,None,0,0.0,0
