id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6025968,2023-08-04T22:00:00,2023-08-04T18:00:00,0.205,2023-05-18T00:00:00,concert,1,0.587,Otsiningo Park,US,NY,0.0,3,3.0,74.0,45.0,130.0,48.0,concert,Tommy DeCarlo,1,0.25,None,0,0.0,0
5964764,2023-08-04T22:03:00,2023-08-04T18:03:00,0.431,2023-03-08T00:00:00,baseball,2,0.704,Thomas More Stadium,US,KY,0.48,15,4.0,38.0,27.0,51.0,28.0,sports,Florence Y'alls,29,0.4,Windy City ThunderBolts,21,0.39,0
5997888,2023-08-04T22:15:00,2023-08-04T18:15:00,0.355,2023-04-16T00:00:00,concert,1,0.658,Promenade Park,US,OH,0.4,1,19.0,91.0,35.0,225.0,70.0,concert,Scotty McCreery,11,0.56,None,0,0.0,0
6017309,2023-08-04T22:30:00,2023-08-04T18:30:00,0.333,2023-05-08T00:00:00,minor_league_baseball,1,0.637,TD Ballpark,US,FL,0.61,29,5.0,42.0,30.0,48.0,43.0,sports,Dunedin Blue Jays,41,0.29,None,0,0.0,0
5893729,2023-08-04T22:30:00,2023-08-04T18:30:00,0.477,2022-12-12T00:00:00,concert,3,0.721,TCU Amphitheater at White River State Park,US,IN,0.71,28,167.0,194.0,62.0,1923.0,161.0,concert,Walker Hayes,6,0.54,Ingrid Andress,10,0.58,0
5929229,2023-08-04T22:30:00,2023-08-04T18:30:00,0.693,2023-01-31T00:00:00,concert,4,0.833,Darien Lake Amphitheater,US,NY,0.75,11,470.0,216.0,14.0,3470.0,180.0,concert,Fall Out Boy,7,0.67,Bring Me The Horizon,4,0.68,0
6016943,2023-08-04T22:30:00,2023-08-04T18:30:00,0.415,2023-05-08T00:00:00,baseball,1,0.696,Raymond Chabot Grant Thornton Park (RCGT Park),Canada,ON,0.47,17,2.0,45.0,31.0,56.0,41.0,sports,Ottawa Titans,23,0.37,None,0,0.0,0
5946644,2023-08-04T22:30:00,2023-08-04T18:30:00,0.357,2023-02-16T00:00:00,minor_league_baseball,2,0.646,PeoplesBank Park,US,PA,0.42,21,6.0,43.0,30.0,54.0,40.0,sports,York Revolution,30,0.31,Frederick Baseball Club,36,0.3,0
5974678,2023-08-04T22:30:00,2023-08-04T18:30:00,0.364,2023-03-21T00:00:00,minor_league_baseball,2,0.648,BayCare Ballpark,US,FL,0.64,17,29.0,38.0,20.0,76.0,34.0,sports,Clearwater Threshers,27,0.29,Lakeland Flying Tigers,36,0.29,0
5977708,2023-08-04T22:30:00,2023-08-04T18:30:00,0.333,2023-03-23T00:00:00,minor_league_baseball,2,0.646,LECOM Park,US,FL,0.58,17,21.0,47.0,25.0,68.0,47.0,sports,Bradenton Marauders,34,0.3,Tampa Tarpons,29,0.3,0
